iter	RMSE
0	1.147525679
1	1.132525489
2	1.119019171
3	1.106352718
4	1.093193466
5	1.080616751
6	1.071243386
7	1.057676763
8	1.046096918
9	1.03403834
10	1.02261621
11	1.012413151
12	1.000012376
13	0.9892345823
14	0.9817932353
15	0.971672747
16	0.961993356
17	0.9529674857
18	0.9467514103
19	0.9409989208
20	0.9304424098
21	0.9199564657
22	0.9098666784
23	0.9018931564
24	0.8943747108
25	0.8862089158
26	0.8768700362
27	0.8692331202
28	0.8600048563
29	0.8582917648
30	0.8501367008
31	0.8390562825
32	0.8356944158
33	0.8268100527
34	0.8213135846
35	0.8140063383
36	0.8065129468
37	0.7993155859
38	0.7938457768
39	0.788026487
40	0.7813472868
41	0.7775373063
42	0.7700828522
43	0.765705348
44	0.7588656703
45	0.7553063781
46	0.7512062234
47	0.7451486854
48	0.739811468
49	0.7330263326
50	0.7278559889
51	0.7249274322
52	0.719373694
53	0.7148318587
54	0.7087542425
55	0.704055953
56	0.6996783833
57	0.694066114
58	0.6886829737
59	0.68794251
60	0.6823070733
61	0.6774380518
62	0.6731976117
63	0.6668847823
64	0.6637486119
65	0.6601463606
66	0.6588493176
67	0.6545110264
68	0.6501742296
69	0.6452245592
70	0.6394136955
71	0.6346979671
72	0.6311969246
73	0.6272943069
74	0.623015853
75	0.6180719442
76	0.6137199946
77	0.6090575036
78	0.6049211887
79	0.6002287545
80	0.5966949364
81	0.5923010171
82	0.5876354898
83	0.5842114923
84	0.5804868172
85	0.5763684231
86	0.5726833025
87	0.5687727608
88	0.5650903341
89	0.5612884772
90	0.5581135878
91	0.554095215
92	0.5509940245
93	0.547240872
94	0.5441658259
95	0.5412750212
96	0.5384977067
97	0.5352857068
98	0.5320975694
99	0.5290729067
100	0.5257029641
101	0.5229984509
102	0.5206128105
103	0.5180117068
104	0.5154177767
105	0.5129098295
106	0.5100175782
107	0.507584526
108	0.504884006
109	0.5021683732
110	0.4996706758
111	0.4972683023
112	0.4951013986
113	0.4929399888
114	0.4906236828
115	0.488249433
116	0.4860243285
117	0.4836735178
118	0.4815379275
119	0.4793189868
120	0.4771488978
121	0.4750267077
122	0.4732559344
123	0.4712208657
124	0.469222611
125	0.4672168506
126	0.4652470087
127	0.463378832
128	0.4616927119
129	0.459888027
130	0.4580238541
131	0.4563098193
132	0.4546354994
133	0.4529728856
134	0.4513704974
135	0.449805469
136	0.4482464555
137	0.4466867284
138	0.445166642
139	0.4437529836
140	0.4423162809
141	0.4409169228
142	0.4395426062
143	0.4382438376
144	0.4369331975
145	0.435661475
146	0.4344086061
147	0.4331925421
148	0.4320055735
149	0.4308005089
150	0.4296666877
151	0.4285169067
152	0.4273969175
153	0.4263057594
154	0.4252676044
155	0.4242350774
156	0.4233363304
157	0.4223615675
158	0.4214104733
159	0.4204460634
160	0.419537896
161	0.418613948
162	0.4177120359
163	0.4168443727
164	0.4159826687
165	0.4151583363
166	0.4143603734
167	0.4135661308
168	0.4127917621
169	0.4120367726
170	0.4113006799
171	0.410583013
172	0.4098724928
173	0.409187321
174	0.4085193376
175	0.4078598417
176	0.4072167762
177	0.4065918591
178	0.4059826452
179	0.4053887401
180	0.4048097594
181	0.404208629
182	0.4036431303
183	0.4031023951
184	0.4025415327
185	0.4019956967
186	0.4014914841
187	0.4009712664
188	0.4004905242
189	0.4000219463
190	0.3995363003
191	0.3990636907
192	0.398607309
193	0.3981791153
194	0.3977617931
195	0.3973297983
196	0.396911292
197	0.3965214416
198	0.3961183002
199	0.3957259989
200	0.3953442396
201	0.3949690639
202	0.3946202243
203	0.3942802983
204	0.3939286411
205	0.3935859719
206	0.3932679907
207	0.3929401303
208	0.3926210953
209	0.3923242112
210	0.3919856475
211	0.3916565305
212	0.3913634549
213	0.3910756389
214	0.3907677102
215	0.3905053089
216	0.3902193936
217	0.3899303041
218	0.3896568911
219	0.3893810701
220	0.3890819962
221	0.3887924284
222	0.3885120494
223	0.3882405531
224	0.3880035626
225	0.3877463225
226	0.3874972131
227	0.3872559638
228	0.3870223135
229	0.3867960101
230	0.3865909938
231	0.386391133
232	0.3861621592
233	0.3859412085
234	0.3857395465
235	0.3855663887
236	0.3853981033
237	0.3852038326
238	0.3850092681
239	0.3848214883
240	0.384640235
241	0.3844927363
242	0.3843201555
243	0.384179461
244	0.3840427112
245	0.3839097905
246	0.3837722834
247	0.3836455394
248	0.3835143512
249	0.3833934613
250	0.3832682596
251	0.3831529197
252	0.3830408022
253	0.3828977003
254	0.382782542
255	0.3826775185
256	0.3825675291
257	0.3824672686
258	0.3823299224
259	0.3822275197
260	0.382134212
261	0.382043509
262	0.3819182186
263	0.3818243141
264	0.38173984
265	0.3816500193
266	0.3815692849
267	0.3814570536
268	0.3813805256
269	0.3812979438
270	0.3812076305
271	0.3811362573
272	0.381059011
273	0.3809907348
274	0.3808934543
275	0.3808130457
276	0.3807353982
277	0.3806737569
278	0.3806056113
279	0.3805465987
280	0.3804748779
281	0.3803905886
282	0.3803278826
283	0.3802390219
284	0.380173162
285	0.3800965616
286	0.3800331967
287	0.3799717031
288	0.3798910712
289	0.3798208141
