iter	Passed	Remaining
0	3	2722
1	7	3139
2	12	3451
3	14	2941
4	17	2763
5	22	2927
6	25	2867
7	32	3180
8	68	6056
9	72	5708
10	74	5340
11	75	4962
12	81	4904
13	84	4737
14	85	4473
15	87	4291
16	90	4181
17	92	4003
18	92	3816
19	93	3646
20	102	3792
21	107	3802
22	112	3815
23	132	4292
24	133	4152
25	137	4095
26	142	4092
27	145	4000
28	169	4498
29	170	4363
30	174	4335
31	178	4275
32	179	4164
33	184	4157
34	186	4085
35	192	4079
36	223	4618
37	229	4608
38	232	4546
39	235	4482
40	237	4401
41	238	4308
42	244	4299
43	247	4253
44	290	4881
45	292	4800
46	293	4707
47	298	4683
48	302	4632
49	308	4625
50	313	4608
51	314	4525
52	341	4816
53	343	4741
54	346	4696
55	350	4654
56	354	4615
57	361	4618
58	367	4615
59	368	4542
60	398	4822
61	404	4810
62	435	5094
63	445	5119
64	450	5091
65	454	5056
66	455	4986
67	477	5141
68	485	5144
69	493	5151
70	536	5504
71	544	5502
72	549	5470
73	561	5504
74	572	5532
75	582	5549
76	593	5576
77	603	5589
78	614	5606
79	621	5595
80	626	5565
81	633	5551
82	654	5655
83	665	5675
84	675	5680
85	682	5666
86	695	5701
87	702	5682
88	709	5671
89	716	5655
90	749	5837
91	805	6201
92	818	6223
93	822	6177
94	830	6165
95	834	6122
96	842	6103
97	848	6076
98	857	6074
99	866	6064
100	909	6294
101	938	6424
102	945	6401
103	957	6409
104	986	6532
105	991	6494
106	999	6472
107	1013	6490
108	1025	6504
109	1050	6586
110	1062	6595
111	1068	6562
112	1077	6549
113	1093	6583
114	1107	6594
115	1114	6572
116	1126	6573
117	1133	6549
118	1141	6535
119	1147	6503
120	1155	6483
121	1161	6454
122	1167	6425
123	1172	6394
124	1178	6362
125	1186	6344
126	1191	6312
127	1196	6282
128	1205	6269
129	1217	6275
130	1223	6247
131	1231	6231
132	1240	6222
133	1254	6237
134	1261	6214
135	1280	6254
136	1290	6247
137	1307	6272
138	1315	6255
139	1324	6242
140	1333	6231
141	1341	6216
142	1350	6204
143	1357	6182
144	1364	6164
145	1371	6141
146	1378	6123
147	1384	6098
148	1393	6087
149	1400	6070
150	1407	6050
151	1414	6029
152	1422	6013
153	1446	6068
154	1451	6041
155	1471	6073
156	1479	6060
157	1485	6034
158	1491	6012
159	1498	5994
160	1504	5972
161	1511	5951
162	1518	5935
163	1526	5920
164	1545	5947
165	1552	5929
166	1560	5914
167	1577	5935
168	1584	5917
169	1602	5940
170	1609	5918
171	1615	5899
172	1623	5884
173	1631	5869
174	1642	5864
175	1651	5853
176	1657	5835
177	1665	5820
178	1671	5799
179	1678	5782
180	1685	5764
181	1691	5742
182	1697	5723
183	1703	5701
184	1710	5686
185	1720	5679
186	1728	5666
187	1737	5656
188	1743	5637
189	1749	5616
190	1757	5603
191	1765	5590
192	1771	5572
193	1785	5575
194	1795	5570
195	1802	5553
196	1811	5544
197	1821	5537
198	1828	5522
199	1840	5522
200	1848	5508
201	1854	5491
202	1861	5474
203	1869	5461
204	1876	5446
205	1897	5472
206	1904	5456
207	1910	5438
208	1921	5432
209	1928	5417
210	1937	5409
211	1945	5395
212	1950	5376
213	1957	5360
214	1966	5351
215	1974	5338
216	1980	5320
217	1986	5303
218	1993	5287
219	1998	5269
220	2004	5250
221	2009	5233
222	2016	5216
223	2021	5199
224	2027	5181
225	2033	5164
226	2038	5146
227	2045	5130
228	2051	5114
229	2056	5097
230	2062	5080
231	2068	5064
232	2074	5048
233	2084	5041
234	2090	5025
235	2097	5013
236	2102	4995
237	2110	4982
238	2117	4970
239	2124	4956
240	2131	4944
241	2139	4932
242	2146	4919
243	2150	4901
244	2157	4888
245	2163	4872
246	2170	4858
247	2178	4848
248	2197	4862
249	2207	4857
250	2213	4841
251	2218	4824
252	2226	4814
253	2235	4805
254	2241	4791
255	2247	4775
256	2254	4763
257	2259	4746
258	2264	4729
259	2269	4713
260	2275	4699
261	2282	4686
262	2287	4671
263	2292	4655
264	2298	4639
265	2303	4623
266	2308	4608
267	2314	4593
268	2319	4578
269	2326	4566
270	2333	4554
271	2339	4540
272	2348	4533
273	2354	4519
274	2359	4503
275	2365	4491
276	2371	4477
277	2379	4467
278	2386	4457
279	2392	4442
280	2397	4428
281	2403	4415
282	2409	4401
283	2415	4388
284	2421	4376
285	2430	4367
286	2435	4353
287	2441	4339
288	2449	4331
289	2454	4316
290	2462	4307
